trial_id,window_id,window_start_s,window_end_s,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
2,11,3.0,3.3,0.904425284179243,-0.3675670223820698,-0.43604203409762227,0.22610630048637756,-4.094276622018038,-0.7701702227558588,-2.322929951447485,-0.06524755410807644,-0.716264748360097,0.17139109721093823,1.2173735317909062,-2.2599421599587717,0.18500756006604813,0.1916071464043334,-0.5583971675223103,0.5506239223342418,1.8938655510251805,0.7316094981493054,0.31128545895279786,-0.854358470169416
2,12,3.3,3.6,1.2721317389970253,0.1858997724269796,0.15192495699843134,0.4902644048824855,-2.290259069403338,2.2576703879090263,2.114307261034262,1.4154109565477606,-0.19521062501431585,-2.070845104930037,-0.29111947263440824,-0.16640929010445157,1.9567544877428111,0.10801877968008013,-0.31610245394644243,-0.2994564128225172,-1.6398241417792336,0.5218491473402763,-0.45830401107964275,0.17103858401173005
2,13,3.6,3.9,1.3304257384808371,-0.4116960163853663,0.7028275896482684,1.760952677589891,-1.5118882645564038,2.3392824983581817,-1.4093215338090983,2.530665358903525,1.0602590516009562,-1.688438725501472,-1.1534614761247675,1.0877090729652195,0.519151585590673,-0.6719772071635157,0.683265927372722,-0.7671671133827145,-0.014704666330072105,-0.10665162311846392,0.18643900518773196,-0.100210420130046
2,14,3.9,4.2,1.3816249501917532,0.6608674583461239,-0.541302593239401,-0.8642626034954624,-2.9275848608101636,0.9718864525984706,0.7192202035578971,1.6436208361548195,-0.8458355722112078,-0.48785671090830784,-0.3733107776894787,-0.47573571178808277,0.3254818063588768,0.23753550334351048,-0.45421192081427175,-0.7795723701698427,-1.261053239962617,0.9351391693563003,-0.5799791333594991,0.25492967132465394
2,15,4.2,4.5,1.1137285147668867,-0.0018089633388254753,0.4747839234937255,-0.43120650634525953,-4.120903847954657,0.7009446953762745,1.5661761892383539,-0.6697209377248807,-1.1128811282841584,-0.5781866372230456,1.9899964414302782,0.8548337098130099,-1.263500790145686,0.18754382116456053,0.4012583112964761,-0.4818963511946801,0.6784540504529406,0.2424132555038126,-0.1899649815546716,0.3518912885243405
2,16,4.5,4.8,1.046343696260338,-1.749257351419018,0.9655192203046263,-3.068077066290795,-5.842974009738716,-1.2409173497368093,-1.8035291982692918,-2.235536126812232,2.160537488339309,-1.8984043916817521,-2.5143055502716463,0.8739667247755911,-0.9076707177068994,0.22653026482934088,0.8513797483406302,-0.9188223509210914,-1.270335297309294,-1.3404476045187608,-0.15501926895387813,0.0596763862379505
2,17,4.8,5.1,-0.37136167797770264,0.655168288594926,-0.48284652354427543,-2.752234284165368,-4.693486562309638,-2.48845563134666,0.5060999179829302,-2.7967843733411843,3.072733670194615,0.43539309160697154,-0.5627252176848129,1.1875239602407546,-0.41829515815097895,-0.01784276402760394,1.0468304526323449,0.10944609113813746,0.9101606094848879,-0.466690269999018,0.3652890075855306,-0.21765186556526428
2,18,5.1,5.4,0.027543487252841604,-0.8750592242913736,0.5961051577230592,1.7940404353161983,-0.10714944427458134,-2.71343295486252,0.9117406685414856,2.9840865009582402,0.09594796553006882,0.6577357333861965,1.8201066624896913,-1.5010902048984924,-1.7923135042235125,-0.07271593296158525,-0.1735203218854582,-0.9949545803925679,2.063508407159106,0.13067323639872913,0.2567010737715242,0.16128071763713045
2,19,5.4,5.7,-0.20361967938379152,-2.2655917152259875,-0.17936112475853008,1.1123349612780449,-1.4723234445619275,-2.574855166751237,-3.7795206330520683,1.6726107935543615,0.8543156705252083,-0.17832361219661771,-0.5131846214245723,0.9554297754878716,-0.7737087934779103,0.6230779107924709,0.4135880902531478,0.5058159995256133,-0.3139579519348532,-0.1201859271531562,0.2673031979763778,0.39839875599950497
2,20,5.7,6.0,0.9554410460448988,-0.5806400607025256,0.6310385545883116,1.2710319615226948,-1.9473036401243184,1.2739369347420335,-1.615588007723088,3.147018458350275,0.3217594887509229,2.1647687739673045,0.17657218119741086,0.5838725066527826,-0.08692425466375137,0.5340057722743711,-0.2871259276612165,0.4379476822599358,-0.5997528724588571,-0.22400370826126964,-0.3680441059853401,-0.02553204298646397
